Letter,Image Path
ا,arabic_font_images/ا.png
ب,arabic_font_images/ب.png
ت,arabic_font_images/ت.png
ث,arabic_font_images/ث.png
ج,arabic_font_images/ج.png
ح,arabic_font_images/ح.png
خ,arabic_font_images/خ.png
د,arabic_font_images/د.png
ذ,arabic_font_images/ذ.png
ر,arabic_font_images/ر.png
ز,arabic_font_images/ز.png
س,arabic_font_images/س.png
ش,arabic_font_images/ش.png
ص,arabic_font_images/ص.png
ض,arabic_font_images/ض.png
ط,arabic_font_images/ط.png
ظ,arabic_font_images/ظ.png
ع,arabic_font_images/ع.png
غ,arabic_font_images/غ.png
ف,arabic_font_images/ف.png
ق,arabic_font_images/ق.png
ك,arabic_font_images/ك.png
ل,arabic_font_images/ل.png
م,arabic_font_images/م.png
ن,arabic_font_images/ن.png
هـ,arabic_font_images/هـ.png
و,arabic_font_images/و.png
ي,arabic_font_images/ي.png
